comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1507702992		밥이 목구멍으로 넘어 갑네까? 드디어 문제인정권 제재하기 시작 하네요. 문제인 대통령 밥이 목구멍으로 넘어갑네까?	2018-10-31T12:28:55+0900	3	0
1507537242		워킹그룹이니 뭐니  하는 것  거부해야 한다.  지들이 뭔데 우리정부를 원격 콘트롤 하려드냐? 현대는 바로 그런 게 주권침해 하고 지나친 내정간섭 하는 미의 시스템이야.   내 참 어이가 없어서,  그런 걸 왜 응히냐고?  No해야 할것은 제발 좀 거절 좀 해보라구!	2018-10-31T10:37:43+0900	1	7
1507488312		재앙아 나라꼴이 엉망인데 청와대밥이 목구녕로 넘어가냐?!!!!	2018-10-31T10:00:46+0900	4	0
1507391322		질책 질타 하러온듯 ㅋㅋㅋ	2018-10-31T07:24:44+0900	0	0
1507387752		세건더리  보이콧????민주당 파멸 각오 하시길 그땐 촛불이 아님	2018-10-31T07:15:43+0900	4	0
1507381202		비건.대북협상 묘책을찾는다? 75년전 김구 김규식 박사 등이 대한민국 정부수립을 놓고 협상하던때의 공산주의 자들이나 75년후인 지금 공산권 국가들의 정책이 망했다곤하나 아직도 그들의 혈관엔 공산주의 사회주의 피가 흐르고있고 그들 중에서도 유일하게 북한괴뢰들은 김정은의 할아비인 김일성의 공산주의 주체사상을 마치 신의 사상인양 북한인민들을 총칼로위협하여 떠받들게 하며 집단을이루어 전세계에서 테러지원국으로 인정받을 무력만행을 대한민국 국민들에게 저질러왔고 핵무기로 위협하고 있는 현실에 선제 북폭뿐 묘책은없다 핵폭탄 포기 않하는것이 증거다	2018-10-31T06:56:49+0900	0	1
1507380812		비서실장이 넘 나서는거 별로다	2018-10-31T06:55:27+0900	0	0
1507373422		개별 면담이 고별 면담이 되지 않았길 진심 바란다.	2018-10-31T06:33:30+0900	0	0
1507371202		문재인1인자 임종석 2인자	2018-10-31T06:26:37+0900	1	0
1507369742		뉴스1  애쓴다 북한 홍보 걸레	2018-10-31T06:21:47+0900	2	1
1507368692		아직도 반미 외쳐대는 멍청한 대학생이 존재할까? 30년 전이나 똑같은 생각을 하는 주사파가 정권을 잡았으니 잘될턱이 없다. 좌파는 오로지 주체사상을 신봉하는과거 망상에 걸린 미치광이들이다.	2018-10-31T06:18:27+0900	9	1
1507367382		북한에 까이고 미국에 까이고 참 어리석은 주사파 정권. 보기싫다. 빨리 물러나라. 국민이 분노하기전에.	2018-10-31T06:14:49+0900	2	0
1507364762		간경화,조영균새 끼,림종석등..관찰확인보고 미국가서 트럼프형님께 보고드립니다..이제 문치매 곧 탄핵..	2018-10-31T06:06:31+0900	4	2
1507362122		경고 메시지를 잘 받아 들여라. 또 무시했다간 이 나라 재앙이다.	2018-10-31T05:57:04+0900	6	1
1507362062		거짓으로  빼앗은 자들이...손석희 보고 있냐? 당신의 행동이 어떤결과를 가져왔는지....언론인으로지식인으로써 양심을  가지고 얘기해봐라.	2018-10-31T05:56:38+0900	7	0
1507360142		반도체 제재 한달 만 때리면 두손두발 다드는 나라	2018-10-31T05:49:42+0900	1	0
1507359842		정의용 물러가라  임종석 물러가라 이낙연 물러가라	2018-10-31T05:48:25+0900	5	0
1507350122		제발 혼내서라도 북한퍼주기 못하게해라..지켜보는 내내 불안하다. 진짜 청화대가 너무 극단적으로 모든일을 오더내려서 힘들다	2018-10-31T05:02:58+0900	16	0
1507342062		주의 주러 온거 같은데	2018-10-31T04:21:17+0900	4	0
1507336262		세컨더리보이콧 때리기전에 청와대 골빈애들 마지막 체크하러온듯	2018-10-31T03:52:16+0900	17	0
1507328912		정의용, 림종서기 이 🐕세키들 목구멍으로 곡식이 넘어가니 ? ㅡ	2018-10-31T03:16:20+0900	9	0
