comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1512032932		닥쳐	2018-11-04T16:27:59+0900	0	0
1507463212		의전에 환장한 또라이 황씨	2018-10-31T09:28:12+0900	1	0
1507229232		자칭 보수들 정말 인물없나봐ㅋㅋㅋ 오세훈도 기어나오고 황교안도 툭하면 페북으로 꼴값떨고ㅋㅋ 황씨 아재요 플랫폼,엘리베이터 의전없어서 아쉬우시겠어요ㅋㅋ	2018-10-30T23:44:25+0900	1	0
1505714232		황교안이 책사가 되던지 대통령이 되던지 해야 한다. 보수들 각성하고 뭉쳐라.	2018-10-29T15:16:22+0900	3	1
1505425572		황교안 전국무총리의 의견을 지지합니다. 그래도 이렇게 나서 주시니 감사합니다.	2018-10-29T09:00:06+0900	0	0
1505333092		황총리 군면제프레임 또 시작하네‥ 가난한 세탁소집 아들이 먼 수로 면제됏것냐??  폐 기흉인가 그걸로 못갔대잖여 ‥그럼 박원순은 왜안갔냐??  그 아들은??  그래도 설시장 잘만 뽑히더라ㅡ니네 이중잣대로 자꾸 국민들 개돼지 만들지 마라ㅡ정정당당 경쟁시켜라고	2018-10-29T03:46:50+0900	1	0
1505331592		두고보셔‥또 가짜뉴스로 모함해서 황총리도 보내버릴걸 ~~그러나 국민들이 진실을 다 알고 있다는 사실.  언제까지 갈거같냐??개돼지 되기 싫거등	2018-10-29T03:34:01+0900	1	0
1505331482		조옷또 모르면서 아는 척 하네.	2018-10-29T03:32:43+0900	1	3
1505318712		왜 문재앙 재앙 하는지 나라 경제를 보면 알 수 있다. 지나고보니 오히려 황교안 때가 훨 나았다. 재앙정부 어서 막을 내리고 황교안이 다시한번 무너진 나라를 살렸으면 하는 바람이다.	2018-10-29T02:02:59+0900	5	1
1505313992		황미필  지가 한게 있나   바보  닭근혜의 죄를  덮어준것밖에    역적 황두드러기	2018-10-29T01:37:31+0900	0	4
1505312552		황교안 논리에 반박합니다. 한국경제지표가 상대적으로 세계호조세와 구별되는 가장큰 이유는 박근혜정부 승계한 썩을 니놈들이 일본의 이간질에 이용당해서 (일본롯데 총회의 참석간부중 한사람이 사드부지 제공한 한국롯데 총수로 사드부지제공후 일본총회의 임원자격 사퇴함) 중국 수뇌부가 또 그걸알면서( 작년 6~7월간 일본중국회담열림) 본보기로 한국에 대한 무역제재를 실시하고 있는것으로 기인함. 물론 미중간 관세 무역전쟁에 휘말린것도 있긴한데 중국춘추절이나 대명절 교역순위를 보면 중국시장1위 수출국이 일본이면서 최근 일본 외국관광객1위가 중국인임	2018-10-29T01:30:58+0900	0	9
1505311552		사별하고 아가 혼자키우는 맘입니다. 그나마 문정부가 이전에 하지 않았던 실험 적인 정책 덕분에 조금이나마 남들 눈치 안보고 삽니다...해보고 안되면 또 답을 찾으려 생각이라도 하는 정부 입니다...  이전에 보수는... 저 같은 아웃 사이더들은 개돼지 였던거 같습니다...살고십습니다. 떳떳히... 답을 찾는 사람은 열릴꺼라고 믿습니다. 노력하면 해탈의 경지가 오는거 당연 한거 아닙니까... 노력하는 정부에 감사합니다... 권력은 배풀때 가장 힘이 나는것 같습니다...	2018-10-29T01:26:22+0900	2	14
1505310732		꼴깝 떨고 있네. 황교안씨 당신이 할 말이 아닌거같은데 당신이 맘대로 사드 도둑설치해서 중국관광객 다 막아놓고 경제얘기를 해 당신입으로? 웃기고 있네. 아닥하고 조용히 있지. 박근혜 뒤 닦아준 주제에 무슨? 어처구니가 없네.	2018-10-29T01:22:36+0900	1	4
1505310342		좌익정권의 칼끝이 늘 겨누고 있는 와중에도 오죽하면 할말을 하셨을까~~ 이명박근혜황대행 시절이 정말 살기 좋았네요!  감사할 줄 모르는 많은 사람들의 선택으로 모든 사람들이 살기 어려워졌네요ㅠㅠ	2018-10-29T01:20:47+0900	6	1
1505304902		총리때 지방갈때 가차플랫폼까지 차로 들어가서 바로 기차에 탑승, 내릴때 방해된다고 버스승강장에 버스못세우게 해서 버스승객들 먼곳에서 내려 개고생시키고.. 일반서민을 그렇게도 생각하고 보살폈던 황교안이가...	2018-10-29T00:59:40+0900	3	6
1505302552		니가 총리할때 좀 잘해놓지 그랬냐. 왜 지금정부한테 덮어씌움ㅋㅋㅋㅋㅋ 가발벗고 군대나 가라. 군대는 왜 안갔음?	2018-10-29T00:51:25+0900	2	9
1505300352		그런 생각은 장관 자리에 있을때나 쳐했어야지 짜식아!!	2018-10-29T00:45:31+0900	4	1
1505299612		문재인이 못해서 황교안 같은 놈이 깝치는게 더 기분 나쁘다 문재인! 제발 좀 잘해서 자한당한테 정권 넘겨주진말자 요즘 서민들 분위기 안 좋다 제발 ㅠ	2018-10-29T00:43:35+0900	3	5
1505295312		일단 당대표 도전하세요 어떤분인지 알야겠어요 홍준표같이 거침없이 보수의 목소리가 나오시나요?	2018-10-29T00:32:01+0900	1	0
1505293142		황교활  더러운 짖은 다해놓코 무슨걱정은  집구석에  안자  노인연금이나 받아 먹어  뭘 주서먹겠다고 겨 나올라꼬	2018-10-29T00:26:47+0900	3	4
1505288502		ㅋㅋㅋㅋㅋㅋㅋ 지는 뭘 잘했다곸ㅋㅋ	2018-10-29T00:16:59+0900	1	2
1505286402		한국당원이다. 우파 지도자가 석연찮은 군면제가 왠말이냐. 넌 아니다.	2018-10-29T00:11:55+0900	3	9
1505285782		어이 황씨 니 한태 어울리는 한마디가있다 간신 ... 주재파악하고 나대라	2018-10-29T00:10:38+0900	2	3
1505276542		이 나라의 대안이 없네요...  그래도 야당 대권 후보신데 분명 쩡와대 좌좀들이 달려들겠죠... 힘내시고 이 나라를 다시 위대한 나라로 만들어 주십시오~  이승만과 박정희를 부정하는 종북주사파 세력들을 몰아 내어주세요~!	2018-10-28T23:53:58+0900	8	2
1505260472		군대도 안간 늠이~젊은이들앞에서... 그 무슨 나라걱정을 다하시는지~^^ㅋㅋㅋ 역시 교활스럽기는...ㅉㅉㅉ	2018-10-28T23:24:22+0900	4	6
1505117022		황교활 너나 잘해라 또 기나오는거보니 우리가 개돼지로보이냐..	2018-10-28T20:47:27+0900	7	10
1505113732		일자리 난리난리난거 새누리때 유동자금 부동산에 죄다 꼴아박게 만들어서 제조업 투자 씨를 말리는 바람에 일자리 안생기는거다 멍뭉이들아	2018-10-28T20:44:32+0900	2	4
1505112142		자한당...박근혜 사드 똥싸질러서 대중국 무역수지 개박살내고 중국 관광객 반토막내서 서비스업 소상공인 매출 개박살내고..자동차 철강 조선 해운 전부다 박살내서 공적자금 수천억 날려먹은 새뀌들이 무슨..할말이 있어서 개소리 처하냐	2018-10-28T20:43:05+0900	6	3
1505087452		교활이는 때긁기부대에 합류하여 때수건 펄럭이며 때긁기에 나서라~~~!!!! 닭장에서 시름시름하는 늙은 암탉 잡고 늙은 무당년에게 굿이라도 하게 하라~~~!!!	2018-10-28T20:19:53+0900	2	1
1505056412		끄네랑.~ 순실이랑 손잡고 사세요. 교활님^^	2018-10-28T19:43:16+0900	6	2
1505045582		여기서  이사람 물고 있는 당신네들은 현정부의 실험적 정책의 희생양도 아닌 붉은 개미 임. 알고 있는가? 사회 전반적으로 현정권의 잘잘못을 따지면 다보수이고 그네명박 충견이라고 몰아세우고 어그지 우기기 바쁘고...근대사 사회주의 추종자들의 공산화 배경의 간접적 모습을 지향하는 그대들은 과연 지금의 생활에 만족하겠지? 그렇게 살아봐. 난 보수고 진보고 내 삶에 문제 있다면 어느 진영도 의문을 가지고 지적과 질문 할 수 있어야 한다. 하지만 현재 대한민국은 현정부에 대한 의문자와 경쟁자를 다 적폐의 대상으로 만든다.	2018-10-28T19:31:19+0900	5	4
1505035582		헐~~~~~	2018-10-28T19:18:57+0900	0	0
1505012612		그네 곁으로 가서 무상급식으로 호의호식 하세	2018-10-28T18:47:54+0900	3	1
1505012352		명박이 그네때보단 몆배는더잘하고있다 .더러운 잡쓰래기청소하는거보이는게없나보구나 .하긴 뭐눈엔뭐만보이니 실감을모하겠구나 .	2018-10-28T18:47:38+0900	12	10
1505008172		금상산 개성공단 그시대에다철수시킨장본인자들이 터진입이라고 주절대지말거라 너거들이할때한게뭐야 내놔봐라 .	2018-10-28T18:42:08+0900	7	3
1504999972		일베ㅅ,ㄲ들 몇모아서 어디까지 가나 보자.ㅋㅋㅋㅋ	2018-10-28T18:31:31+0900	5	1
1504980052		황교안 응원합니다 ~쓰러져가는 대한인국 살려주세요	2018-10-28T18:03:40+0900	19	11
